year,category,nominee_name,gender
2018,best picture,Peter Spears,0
2018,best picture,Luca Guadagnino,0
2018,best picture,Emilie Georges,1
2018,best picture,Marco Morabito,0
2018,best picture,Tim Bevan,0
2018,best picture,Eric Fellner,0
2018,best picture,Lisa Bruce,1
2018,best picture,Anthony McCarten,0
2018,best picture,Douglas Urbanski,0
2018,best picture,Emma Thomas,1
2018,best picture,Christopher Nolan,0
2018,best picture,Sean McKittrick,0
2018,best picture,Jason Blum,0
2018,best picture,Edward H. Hamm Jr.,0
2018,best picture,Jordan Peele,0
2018,best picture,Scott Rudin,0
2018,best picture,Eli Bush,0
2018,best picture,Evelyn O'Neill,1
2018,best picture,JoAnne Sellar,1
2018,best picture,Paul Thomas Anderson,0
2018,best picture,Megan Ellison,1
2018,best picture,Daniel Lupi,0
2018,best picture,Amy Pascal,1
2018,best picture,Steven Spielberg,0
2018,best picture,Kristie Macosko Krieger,1
2018,best picture,Guillermo del Toro,0
2018,best picture,J. Miles Dale,0
2018,best picture,Graham Broadbent,0
2018,best picture,Pete Czernin,0
2018,best picture,Martin McDonagh,0
2018,animated feature film,Tom McGrath,0
2018,animated feature film,Ramsey Naito,1
2018,animated feature film,Nora Twomey,1
2018,animated feature film,Anthony Leo,0
2018,animated feature film,Lee Unkrich,0
2018,animated feature film,Darla K. Anderson,1
2018,animated feature film,Carlos Saldanha,0
2018,animated feature film,Lori Forte,1
2018,animated feature film,Dorota Kobiela,1
2018,animated feature film,Hugh Welchman,0
2018,animated feature film,Ivan Mactaggart,0
2018,cinematography,Roger A. Deakins,0
2018,cinematography,Bruno Delbonnel,0
2018,cinematography,Hoyte van Hoytema,0
2018,cinematography,Rachel Morrison,1
2018,cinematography,Dan Laustsen,0
2018,costume design,Jacqueline Durran,1
2018,costume design,Jacqueline Durran,1
2018,costume design,Mark Bridges,0
2018,costume design,Luis Sequeira,0
2018,costume design,Consolata Boyle,1
2018,directing,Christopher Nolan,0
2018,directing,Jordan Peele,0
2018,directing,Greta Gerwig,1
2018,directing,Paul Thomas Anderson,0
2018,directing,Guillermo del Toro,0
2018,documentary (feature),Steve James,0
2018,documentary (feature),Mark Mitten,0
2018,documentary (feature),Julie Goldman,1
2018,documentary (feature),Agnès Varda,1
2018,documentary (feature),JR,0
2018,documentary (feature),Rosalie Varda,1
2018,documentary (feature),Bryan Fogel,0
2018,documentary (feature),Dan Cogan,0
2018,documentary (feature),Feras Fayyad,0
2018,documentary (feature),Kareem Abeed,0
2018,documentary (feature),Søren Steen Jespersen,0
2018,documentary (feature),Yance Ford,0
2018,documentary (feature),Joslyn Barnes,1
2018,documentary (short subject),Laura Checkoway,1
2018,documentary (short subject),Thomas Lee Wright,0
2018,documentary (short subject),Frank Stiefel,0
2018,documentary (short subject),Elaine McMillion Sheldon,1
2018,documentary (short subject),Kerrin Sheldon,0
2018,documentary (short subject),Thomas Lennon,0
2018,documentary (short subject),Kate Davis,1
2018,documentary (short subject),David Heilbroner,0
2018,film editing,Paul Machliss,0
2018,film editing,Jonathan Amos,0
2018,film editing,Lee Smith,0
2018,film editing,Tatiana S. Riegel,1
2018,film editing,Sidney Wolinsky,0
2018,film editing,Jon Gregory,0
2018,directing foreign language film,Sebastián Lelio,0
2018,directing foreign language film,Ziad Doueiri,0
2018,directing foreign language film,Andrey Zvyagintsev,0
2018,directing foreign language film,Ildikó Enyedi,1
2018,directing foreign language film,Ruben Östlund,0
2018,Makeup and hairstyling,Kazuhiro Tsuji,0
2018,Makeup and hairstyling,David Malinowski,0
2018,Makeup and hairstyling,Lucy Sibbick,1
2018,Makeup and hairstyling,Daniel Phillips,0
2018,Makeup and hairstyling,Lou Sheppard,1
2018,Makeup and hairstyling,Arjen Tuiten,0
2018,Music (original score),Hans Zimmer,0
2018,Music (original score),Jonny Greenwood,0
2018,Music (original score),Alexandre Desplat,0
2018,Music (original score),John Williams,0
2018,Music (original score),Carter Burwell,0
2018,music (original song),Mary J. Blige,1
2018,music (original song),Raphael Saadiq,0
2018,music (original song),Taura Stinson,1
2018,music (original song),Sufjan Stevens,0
2018,music (original song),Kristen Anderson-Lopez,1
2018,music (original song),Robert Lopez,0
2018,music (original song),Diane Warren,1
2018,music (original song),Lonnie R. Lynn,0
2018,music (original song),Benj Pasek,0
2018,music (original song),Justin Paul,0
2018,production design,Sarah Greenwood,1
2018,production design,Katie Spencer,1
2018,production design,Dennis Gassner,0
2018,production design,Alessandra Querzola,1
2018,production design,Sarah Greenwood,1
2018,production design,Katie Spencer,1
2018,production design,Nathan Crowley,0
2018,production design,Gary Fettis,0
2018,production design,Paul Denham Austerberry,0
2018,production design,Shane Vieau,0
2018,production design,Jeffrey A. Melvin,0
2018,short film (animated),Glen Keane,0
2018,short film (animated),Kobe Bryant,0
2018,short film (animated),Victor Caire,0
2018,short film (animated),Gabriel Grapperon,0
2018,short film (animated),Dave Mullins,0
2018,short film (animated),Dana Murray,1
2018,short film (animated),Max Porter,0
2018,short film (animated),Ru Kuwahata,0
2018,short film (animated),Jakob Schuh,0
2018,short film (animated),Jan Lachauer,0
2018,short film (live action),Reed Van Dyk,0
2018,short film (live action),Derin Seale,0
2018,short film (live action),Josh Lawson,0
2018,short film (live action),"Kevin Wilson, Jr.",0
2018,short film (live action),Chris Overton,0
2018,short film (live action),Rachel Shenton,1
2018,short film (live action),Katja Benrath,1
2018,short film (live action),Tobias Rosen,0
2018,sound editing,Julian Slater,0
2018,sound editing,Mark Mangini,0
2018,sound editing,Theo Green,0
2018,sound editing,Richard King,0
